Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 18:39:39.060,0 days 18:39:39,0,0
2021-05-07 18:40:45.061,0 days 18:40:45,0,0
2021-05-07 18:41:51.095,0 days 18:41:51,0,0
2021-05-07 18:42:58.001,0 days 18:42:58,0,0
2021-05-07 18:44:03.058,0 days 18:44:03,0,0
2021-05-07 18:45:09.077,0 days 18:45:09,0,0
2021-05-07 18:46:15.043,0 days 18:46:15,0,0
2021-05-07 18:47:21.065,0 days 18:47:21,0,0
2021-05-07 18:48:27.084,0 days 18:48:27,0,0
2021-05-07 18:49:33.040,0 days 18:49:33,0,0
2021-05-07 18:50:40.016,0 days 18:50:40,0,0
2021-05-07 18:51:45.072,0 days 18:51:45,0,0
2021-05-07 18:52:51.017,0 days 18:52:51,0,0
2021-05-07 18:53:57.042,0 days 18:53:57,0,0
2021-05-07 18:55:03.004,0 days 18:55:03,0,0
2021-05-07 18:56:09.019,0 days 18:56:09,0,0
2021-05-07 18:57:15.047,0 days 18:57:15,0,0
2021-05-07 18:58:20.076,0 days 18:58:20,0,0
2021-05-07 18:59:27.000,0 days 18:59:27,0,0
2021-05-07 19:00:33.023,0 days 19:00:33,0,0
2021-05-07 19:01:38.068,0 days 19:01:38,0,0
2021-05-07 19:02:44.082,0 days 19:02:44,0,0
2021-05-07 19:03:51.000,0 days 19:03:51,0,0
2021-05-07 19:04:57.001,0 days 19:04:57,0,0
2021-05-07 19:06:02.049,0 days 19:06:02,0,0
2021-05-07 19:07:08.073,0 days 19:07:08,0,0
2021-05-07 19:08:14.083,0 days 19:08:14,0,0
2021-05-07 19:09:20.087,0 days 19:09:20,35,1225
2021-05-07 19:10:26.086,0 days 19:10:26,0,805
2021-05-07 19:11:32.022,0 days 19:11:32,0,560
2021-05-07 19:12:38.080,0 days 19:12:38,35,245
2021-05-07 19:13:44.074,0 days 19:13:44,0,175
2021-05-07 19:14:50.059,0 days 19:14:50,0,70
2021-05-07 19:15:56.051,0 days 19:15:56,0,35
2021-05-07 19:17:02.044,0 days 19:17:02,0,0
2021-05-07 19:18:08.021,0 days 19:18:08,0,0
2021-05-07 19:19:14.040,0 days 19:19:14,0,0
2021-05-07 19:20:20.024,0 days 19:20:20,0,0
2021-05-07 19:21:26.073,0 days 19:21:26,0,0
2021-05-07 19:22:31.091,0 days 19:22:31,0,0
2021-05-07 19:23:37.072,0 days 19:23:37,0,0
2021-05-07 19:24:44.030,0 days 19:24:44,0,0
2021-05-07 19:25:50.023,0 days 19:25:50,0,0
2021-05-07 19:26:56.000,0 days 19:26:56,0,0
2021-05-07 19:28:02.001,0 days 19:28:02,0,0
2021-05-07 19:29:08.001,0 days 19:29:08,0,0
2021-05-07 19:30:14.002,0 days 19:30:14,0,0
2021-05-07 19:31:19.096,0 days 19:31:19,0,0
2021-05-07 19:32:26.045,0 days 19:32:26,0,0
2021-05-07 19:33:31.079,0 days 19:33:31,0,0
2021-05-07 19:34:37.058,0 days 19:34:37,0,0
2021-05-07 19:35:43.063,0 days 19:35:43,0,0
2021-05-07 19:36:49.020,0 days 19:36:49,0,0
2021-05-07 19:37:55.046,0 days 19:37:55,0,0
2021-05-07 19:39:01.025,0 days 19:39:01,0,0
2021-05-07 19:40:07.054,0 days 19:40:07,0,0
2021-05-07 19:41:13.023,0 days 19:41:13,0,0
2021-05-07 19:42:19.028,0 days 19:42:19,0,0
2021-05-07 19:43:26.013,0 days 19:43:26,0,0
2021-05-07 19:44:31.024,0 days 19:44:31,0,0
2021-05-07 19:45:36.096,0 days 19:45:36,0,0
2021-05-07 19:46:43.024,0 days 19:46:43,0,35
2021-05-07 19:47:48.081,0 days 19:47:48,0,0
2021-05-07 19:48:54.093,0 days 19:48:54,0,0
2021-05-07 19:50:00.071,0 days 19:50:00,0,35
2021-05-07 19:51:07.015,0 days 19:51:07,0,0
2021-05-07 19:52:12.069,0 days 19:52:12,0,0
2021-05-07 19:53:19.016,0 days 19:53:19,0,35
2021-05-07 19:54:25.032,0 days 19:54:25,0,0
2021-05-07 19:55:30.050,0 days 19:55:30,0,0
2021-05-07 19:56:36.072,0 days 19:56:36,0,0
2021-05-07 19:57:42.033,0 days 19:57:42,0,0
2021-05-07 19:58:48.037,0 days 19:58:48,0,0
2021-05-07 19:59:54.085,0 days 19:59:54,0,0
2021-05-07 20:01:00.063,0 days 20:01:00,0,0
2021-05-07 20:02:06.065,0 days 20:02:06,0,0
2021-05-07 20:03:12.046,0 days 20:03:12,0,0
2021-05-07 20:04:18.009,0 days 20:04:18,0,35
2021-05-07 20:05:24.093,0 days 20:05:24,0,0
2021-05-07 20:06:29.097,0 days 20:06:29,0,0
2021-05-07 20:07:36.037,0 days 20:07:36,0,0
2021-05-07 20:08:42.047,0 days 20:08:42,0,0
2021-05-07 20:09:48.000,0 days 20:09:48,0,0
2021-05-07 20:10:54.014,0 days 20:10:54,0,0
2021-05-07 20:11:59.075,0 days 20:11:59,0,0
2021-05-07 20:13:05.098,0 days 20:13:05,0,0
2021-05-07 20:14:11.058,0 days 20:14:11,0,0
2021-05-07 20:15:17.078,0 days 20:15:17,0,0
2021-05-07 20:16:23.063,0 days 20:16:23,0,0
2021-05-07 20:17:30.007,0 days 20:17:30,0,0
2021-05-07 20:18:35.055,0 days 20:18:35,0,0
2021-05-07 20:19:41.078,0 days 20:19:41,0,0
2021-05-07 20:20:47.097,0 days 20:20:47,0,0
